date_key,date_value,year,month,day,quarter,day_of_week
20201130,2020-11-30,2020,11,30,4,月
20201201,2020-12-01,2020,12,1,4,火
20201202,2020-12-02,2020,12,2,4,水
20201203,2020-12-03,2020,12,3,4,木
20201204,2020-12-04,2020,12,4,4,金
20201205,2020-12-05,2020,12,5,4,土
20201206,2020-12-06,2020,12,6,4,日
20201207,2020-12-07,2020,12,7,4,月
20201208,2020-12-08,2020,12,8,4,火
20201209,2020-12-09,2020,12,9,4,水
20201210,2020-12-10,2020,12,10,4,木
20201211,2020-12-11,2020,12,11,4,金
20201212,2020-12-12,2020,12,12,4,土
20201213,2020-12-13,2020,12,13,4,日
20201214,2020-12-14,2020,12,14,4,月
20201215,2020-12-15,2020,12,15,4,火
20201216,2020-12-16,2020,12,16,4,水
20201217,2020-12-17,2020,12,17,4,木
20201218,2020-12-18,2020,12,18,4,金
20201219,2020-12-19,2020,12,19,4,土
20201220,2020-12-20,2020,12,20,4,日
20201221,2020-12-21,2020,12,21,4,月
20201222,2020-12-22,2020,12,22,4,火
20201223,2020-12-23,2020,12,23,4,水
20201224,2020-12-24,2020,12,24,4,木
20201225,2020-12-25,2020,12,25,4,金
20201226,2020-12-26,2020,12,26,4,土
20201227,2020-12-27,2020,12,27,4,日
20201228,2020-12-28,2020,12,28,4,月
20201229,2020-12-29,2020,12,29,4,火
20201230,2020-12-30,2020,12,30,4,水
20201231,2020-12-31,2020,12,31,4,木
